F72,F25,F65,F68,F101,F104,F105,F94,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,category
2815,2100,13,33,0.4027777777777778,0.1338289962825278,0.3529411764705882,14,3,-1.0,0.0434782608695652,0.0292099903103599,-0.855072463768116,0.0292099903103599,-1.0,1825,0,80,open
2815,2100,13,33,0.5916666666666667,0.1338289962825278,0.75,14,3,-1.0,0.0434782608695652,0.0292099903103599,-0.855072463768116,0.0292099903103599,-1.0,1543,0,80,open
2815,2100,13,33,0.5527777777777778,0.1338289962825278,0.9230769230769232,14,3,-1.0,0.0434782608695652,0.0292099903103599,-0.855072463768116,0.0292099903103599,-1.0,1543,0,80,open
2815,2100,13,33,0.9,0.1338289962825278,1.0,14,1,-1.0,0.0,0.0332571428571428,-1.0,0.0332571428571428,-1.0,2172,0,80,open
2815,2100,13,33,0.8694444444444445,0.1338289962825278,1.0,14,2,0.0,0.0,0.0109808633082005,-0.7142857142857143,0.0109808633082005,-1.0,2548,0,80,open
2815,2100,13,33,0.6138888888888889,0.1338289962825278,1.0,14,2,0.0,0.0,0.0109808633082005,-0.7142857142857143,0.0109808633082005,-1.0,2548,0,80,open
2658,2071,20,33,0.5147632311977716,0.1003627569528416,0.0857142857142857,14,2,1.0,1.0,0.0401785714285714,1.0,0.0401785714285714,0.3333333333333333,9513,0,2041,close
2658,2071,20,33,0.5329619312906221,0.1003627569528416,0.5,14,2,-1.0,0.0294117647058823,0.1430467995178398,-0.9411764705882352,0.1430467995178398,0.3333333333333333,1562,0,2041,open
2658,2071,20,33,0.510677808727948,0.1003627569528416,0.2142857142857142,14,3,1.0,0.2,0.1430467995178398,-0.6,0.1430467995178398,0.3333333333333333,1136,0,2041,close
9780,3796,4,33,0.5217391304347826,0.3636363636363636,1.0,14,2,0.0,0.125,0.0109808633082005,-0.75,0.0109808633082005,-1.0,2309,0,86,open
9780,3796,4,33,0.5072463768115942,0.3636363636363636,1.0,14,2,0.0,0.125,0.0109808633082005,-0.75,0.0109808633082005,-1.0,2570,0,86,open
4237,2639,3,33,0.8727272727272727,1.35,0.6666666666666666,14,3,-1.0,0.25,0.0292099903103599,-0.5,0.0292099903103599,-1.0,3970,0,3,open
1801,1892,5,33,0.7807017543859649,0.2077922077922078,1.0,14,3,-1.0,0.0434782608695652,0.0292099903103599,-0.855072463768116,0.0292099903103599,-1.0,1726,0,88,open
1801,1892,5,33,0.912280701754386,0.2077922077922078,0.5384615384615384,14,3,-1.0,0.0434782608695652,0.0292099903103599,-0.855072463768116,0.0292099903103599,-1.0,1726,0,88,open
4522,2810,25,12,0.7924528301886793,0.1226053639846743,0.7,6,3,-0.3333333333333333,1.0,0.1430467995178398,1.0,0.1430467995178398,-0.5,3318,0,10,close
4522,2810,25,12,0.3315363881401617,0.1226053639846743,0.5714285714285714,6,2,-1.0,0.0294117647058823,0.1430467995178398,-0.9411764705882352,0.1430467995178398,-0.5,7312,0,10,open
4522,2810,25,12,0.784366576819407,0.1226053639846743,0.5,6,2,-0.3333333333333333,0.0294117647058823,0.1430467995178398,-0.9411764705882352,0.1430467995178398,-0.5,7312,0,10,open
4522,2810,25,12,0.8517520215633423,0.1226053639846743,0.5,6,3,-0.3333333333333333,0.0434782608695652,0.0292099903103599,-0.855072463768116,0.0292099903103599,-0.5,2464,0,10,open
7756,3443,6,12,0.5967741935483871,0.6833333333333333,0.375,6,3,-1.0,0.0,0.0,-1.0,0.0,-1.0,7489,0,1,open
5759,3259,12,12,0.4285714285714285,0.217391304347826,0.5,6,3,-1.0,0.0434782608695652,0.0292099903103599,-0.855072463768116,0.0292099903103599,-1.0,4111,0,118,open
9785,3796,3,5,0.8955223880597015,0.6176470588235294,0.5454545454545454,1,3,-1.0,0.0434782608695652,0.0292099903103599,-0.855072463768116,0.0292099903103599,-1.0,6588,0,158,open
8218,3484,14,4,0.582089552238806,0.2558139534883721,1.0,1,2,0.0,0.0,0.0332571428571428,-1.0,0.0332571428571428,-1.0,7951,0,115,open
2658,2071,3,4,0.9344262295081968,0.75,0.7142857142857143,1,3,-1.0,0.0434782608695652,0.0292099903103599,-0.855072463768116,0.0292099903103599,-1.0,6588,0,130,open
9785,3796,5,3,0.2527472527472527,0.1615384615384615,1.0,3,1,0.0,0.0,0.1430467995178398,-1.0,0.1430467995178398,-1.0,9518,0,2990,open
6489,3366,2,3,0.8157894736842105,1.5,1.0,3,1,0.0,0.0,0.1430467995178398,-1.0,0.1430467995178398,-1.0,6222,0,137,open
9066,3570,1,6,0.9393939393939394,1.5,1.0,5,1,0.0,0.0,0.1430467995178398,-1.0,0.1430467995178398,-1.0,8799,0,39,open
9785,3796,4,6,0.6,0.7777777777777778,1.0,5,1,0.0,0.0,0.1430467995178398,-1.0,0.1430467995178398,-1.0,9518,0,76,open
